,created_at,text,retweets,likes
32,2025-03-30 19:08:01+00:00,"@elonmusk Considering you failed to pay severance money to Twitter employees. https://t.co/qtYekrzazY

Which you also did with software companies, landlords, hosting companies, etc.

You do this consistently. 

So, I think the left being skeptical about you keeping your word is justified.",0,3
33,2025-03-30 17:15:15+00:00,"It wasn't bad enough selling Twitter now he's laying off employees at another company he created😡🤬
https://t.co/p8U3Apswie",0,1
34,2025-03-30 15:15:47+00:00,RT @BukurPaul: This is a good sign that prices will start to fall.  No more shortage of engineers or workers. DEI hires are at the biggest…,1,0
35,2025-03-30 15:15:24+00:00,"@mribeirodantas @turatteu @cajuinaoverflow Tá, blz, mas você tá usando um exemplo hipotético. Me fala uma big tech que é, de fato, estabelecida no mercado e passa por situações onde é pirateada e isso prejudica os trabalhadores. Na prática isso não acontece, mas sabe oq de fato acontece? Layoff pra beneficiar acionista.",0,0
36,2025-03-30 15:10:25+00:00,"This is a good sign that prices will start to fall.  No more shortage of engineers or workers. DEI hires are at the biggest risk of going Broke.  Fast. 
Bay Area, California lose thousands of jobs as hiring tumbles

Source: The Mercury News
 https://t.co/MKqAb7OFEX",1,2
37,2025-03-30 14:05:03+00:00,"@PattyTodt @WallStreetApes It’s based on past history, dumbass 

https://t.co/UoxuQvzhPl",0,0
38,2025-03-30 14:04:02+00:00,"@RKGold @WallStreetApes Or, maybe it’s the cautious people that knew what happened to twitter employees screwed out of severance by Musk:

https://t.co/UoxuQvzhPl",0,0
39,2025-03-30 13:21:56+00:00,"No More LayOff: नहीं सताएगी नौकरी जाने की चिंता, बस जल्दी से कर लीजिए आप भी ये काम

https://t.co/KJireCiANq",0,1
40,2025-03-30 11:43:26+00:00,"カリフォルニア州のベイエリア、数千人の雇用を喪失

州雇用開発局(EDD)によると、2025年年初からは、ベイエリアで9,900人の雇用が失われ、カリフォルニア州全体では2万8900人の雇用が失われた。...
https://t.co/pQUx5ky3ZP
Duane",0,0
41,2025-03-30 09:23:05+00:00,"@skyraptor99 @kerawoot @Seb_du_Grenier Tous ces médias ont créés plus d'emplois que remplacé, pire, ils n'ont même pas remplacés mais importés de nouveaux travailleurs. L'IA generative est déjà responsable de milliers de layoff dans la tech pendant que tout le monde croit que c'est un problème du futur.",0,1
42,2025-03-30 06:09:34+00:00,Bay Area tech CEO lays off 931 workers with 'straight facts' email https://t.co/VdB151btyV via @SFGate,0,0
